Periodo,USD/CLP,11 month expected MPR,Ex-Ante Real Rate,M1,M2,REER,Oil Price,Core CPI M/M_sa,Overall PPI_sa,Manufacturing PPI_sa,Mining PPI_sa,Utilities PPI_sa,Agri PPI_sa,IMACEC Total_sa,IMACEC Production of Goods_sa,IMACEC Commerce_sa,IMACEC Services_sa,IMACEC Factor Cost_sa,Real Wage Growth m/m_sa,Labor Cost m/m_sa,Nominal Wage Growth m/m_sa,Unemployment Rate_sa,Headline CPI_sa
2015-02-01,0.004,2.75,0.0,-0.003,-0.003,-0.006,-0.226,0.394701975779665,-0.04660510707539782,0.0006363381846290539,-0.08441755525239808,0.0011841879384242356,-0.00792331003840272,0.0042025719663750655,-0.004097238828555321,0.016169424069384514,0.004038835189263845,0.003523060839754996,0.05989346201664647,0.5411413924578549,0.4412722006378789,6.613327727681954,0.15935102660342682
2015-03-01,0.008,3.0,0.0,-0.01,-0.002,-0.009,-0.035,0.5044008385121878,3.014403176785762e-06,0.002521264709018755,-0.011783315241789005,0.05481835921308413,0.0020969315127167924,0.0029320319577094897,0.00433875548735446,-0.0036977603919430696,0.0006904672368571452,0.0005147564389764783,0.32926553703103273,0.6406644831357572,0.5705925803521398,6.4467832287257085,0.28972543278267027
2015-04-01,-0.022,3.25,-0.2,0.016,0.012,-0.015,0.057,0.39219656085014104,-0.0004910825463372119,0.0031743333802425077,-0.0012134094189327899,0.009209315311178887,-0.007773397073815077,0.0026765581509374803,0.002405075662151264,0.030369336446211675,0.0038731458002123076,0.003818921353087937,0.19914530937343558,0.5239258598781257,0.4695997736560013,6.232720518443016,0.2707272014691503
2015-05-01,-0.012,3.25,-0.1,0.019,0.009,-0.023,0.086,0.4434235829830547,0.005174273397973746,-0.004982966384254562,0.01361332556067785,0.004502832053116343,0.009401538686415908,0.010608923606243728,0.013817788337660245,0.014685720177659602,0.006559790907695746,0.010513126888785869,-0.08675431104203102,0.31008468917462084,0.5638812428861137,6.450511405680864,0.3850617985503924
2015-06-01,0.037,3.25,0.0,0.02,0.009,-0.006,-0.042,0.4003279270176336,0.007408081843049579,-0.0013430318538819653,0.01757629532722929,-0.003382054502048955,0.005149752108111291,-0.006772421905510315,-0.013355556054418728,-0.02630090100911504,0.004167966425476558,-0.00647010683530377,0.17740102913057473,0.41067387312325165,0.38778289798708115,6.535012818229962,0.25329133621511285
2015-07-01,0.032,3.0,-0.2,-0.006,0.016,0.029,-0.084,0.48065893901249207,-0.0005631903046042757,0.00769089327621148,-0.012182133648477221,0.011188766956862418,-0.005053839470165263,0.011127663020220557,0.02116063061523523,0.04736230613337078,0.002609973326727146,0.01115366672661389,-0.05836107863681386,0.6074225453152867,0.45429149108487643,6.426077379370825,0.4613486091873243
2015-08-01,0.058,3.25,-0.5,-0.004,0.016,0.018,-0.174,0.5245050533702482,-0.02024529702789654,0.0073891632940483055,-0.0638135099935476,0.029591356245215684,0.0148174147466265,0.002748977401322711,-0.01442824544248033,0.004119731519340652,0.01465998886091071,0.001724924203179025,0.10154432346758202,0.73675602492825,0.4283362065052032,6.385397117773486,0.4218767304595976
2015-09-01,0.005,3.5,-0.7,0.01,0.008,0.031,0.02,0.4489188241115712,0.00020577925812086464,0.008177509389229051,-0.006424104931812315,0.002950685135257324,0.005260529384386262,-0.009467720856004249,-0.016142061911836404,-0.019795878897134148,0.001759838617426096,-0.008987581783730127,-0.5028804448447024,-0.09204316554065847,0.14141703355849605,6.265155122684263,0.7342474903740273
2015-10-01,-0.009,3.5,-0.369,-0.01,0.008,-0.01,0.019,0.33004930954943523,0.012200595034682274,-0.0001381502421957245,0.023217881015722967,0.009220813578006628,-0.017583108673100117,0.014883810704254591,0.03915328963900118,0.02110036923274679,0.008446983502565945,0.017335165206321917,0.3422489226017468,0.8326188325102601,0.6434017856495989,6.30304593306631,0.24534315804591877
2015-11-01,0.027,3.75,-0.25,0.017,0.013,-0.01,-0.088,0.43631684247830965,0.0019641946955742074,-0.001995074770464726,0.0018091419715683477,-2.7992297257079315e-05,0.0010565889088425826,-0.0015311072856775756,-0.026151934013903838,0.01455981399113064,0.0025096480330343215,-0.0034466316541100564,0.2574381328197632,0.38665627066938013,0.32472211340349305,6.397594853533703,0.3690072980444444
